station_name,lat,lon,line
CSMT,18.9398,72.8355,Central Line
Masjid,18.9460,72.8380,Central Line
Sandhurst Road,18.9580,72.8440,Central Line
Byculla,18.9760,72.8330,Central Line
Chinchpokli,18.9840,72.8330,Central Line
Currey Road,18.9940,72.8330,Central Line
Parel,19.0020,72.8420,Central Line
Dadar,19.0170,72.8420,Central Line
Matunga,19.0270,72.8570,Central Line
Sion,19.0430,72.8640,Central Line
Kurla,19.0720,72.8780,Central Line
Vidyavihar,19.0790,72.8960,Central Line
Ghatkopar,19.0850,72.9080,Central Line
Vikhroli,19.1110,72.9280,Central Line
Kanjurmarg,19.1290,72.9380,Central Line
Bhandup,19.1430,72.9370,Central Line
Nahur,19.1540,72.9460,Central Line
Mulund,19.1720,72.9560,Central Line
Thane,19.1860,72.9750,Central Line
Diva,19.1960,73.0450,Central Line
Dombivli,19.2180,73.0860,Central Line
Kalyan,19.2400,73.1300,Central Line
